Blog	looking	second	here	music	until	example	want	wrong	series	re	service	project	person	best	asked	things	couple	had	easy	possible	right	old	people	support	happy	later	time	team	along	love	working	awesome	such	data	so	years	course	didn	internet	million	quite	open	future	san	say	saw	take	ways	going	where	many	wants	photos	single	technology	being	around	traffic	world	power	industry	mean	other	her	am	number	tv	th	large	small	past	hours	via	company	learn	information	its	always	found	week	really	major	also	play	plan	sometimes	set	see	available	last	funny	recent	d	continue	anything	into	link	posted	us	ago	having	try	video	let	great	makes	tools	next	process	high	move	doing	could	start	system	face	fact	should	hope	means	stuff	edition	email	ve	off	less	web	five	become	does	software	much	life	chance	told	work	interview	after	order	office	then	them	they	network	another	do	away	com	voice	hand	photo	night	security	marketing	post	months	way	update	together	guy	change	history	live	car	write	product	still	now	january	year	space	shows	friend	than	online	america	only	between	article	comes	these	media	real	read	early	using	business	aren	lot	trying	since	month	very	family	put	almost	site	help	soon	actually	event	reason	ask	american	pretty	during	x	close	won	probably	else	look	while	user	game	some	doesn	youtube	go	facebook	click	started	control	links	front	times	man	need	able	based	she	state	key	problem	both	well	page	twitter	home	he	friends	amp	companies	even	ever	never	call	tell	give	answer	before	better	went	content	isn	features	seen	don	m	stop	bad	said	against	appeared	three	website	if	make	left	human	yes	yet	save	popular	super	down	digital	me	did	run	visit	making	sunday	may	maybe	talk	nbsp	interesting	thing	think	first	long	little	anyone	were	performance	especially	show	get	nearly	morning	behind	reading	across	those	different	pay	same	running	money	either	users	enough	videos	again	important	u	public	search	two	share	needs	coming	through	someone	everyone	house	hard	idea	done	least	part	b	tool	most	find	please	point	simple	simply	create	itself	source	big	bit	google	often	back	others	ll	day	text	including	taking	value	thought	latest	add	works	happens	minutes	under	every	would	phone	must	my	keep	end	over	writing	each	group	saturday	got	free	days	already	top	too	took	though	watch	report	full	news	quickly	several	social	gave	everything	why	head	check	no	when	cool	says	goes	today	name	turn	place	given	any	ideas	sure	written	come	case	good	without	seems	blog	there	follow	program	far	list	design	version	short	might	used	friday	feel	story	kind	nothing	windows	his	hit	him	wrote	art	recently	political	questions	question	fast	called	once	app	use	few	something	instead	looks	our	york	their	which	who	looked	view	stories	gets	know	press	because	lead	getting	own	made	book
Schneier on Security	0	1	2	0	2	1	2	2	0	5	1	1	0	2	0	2	2	2	0	1	2	1	4	1	0	2	6	1	0	0	0	0	3	2	3	1	0	0	6	0	0	0	3	0	1	4	1	1	5	4	3	0	0	0	2	3	3	0	2	1	0	0	6	0	0	2	0	0	0	1	0	0	0	1	1	1	9	0	0	0	0	2	3	0	1	0	1	3	3	1	0	1	0	0	1	2	0	0	15	1	1	1	0	2	0	1	1	0	3	1	1	1	9	0	1	0	1	9	0	1	0	0	0	0	3	0	0	0	2	2	0	4	0	0	0	5	0	0	1	1	0	5	20	2	1	5	3	1	0	3	0	1	7	0	2	2	1	0	0	0	1	1	1	0	0	0	1	2	0	4	0	0	0	4	0	0	7	4	2	0	6	0	1	0	0	4	0	0	2	1	2	0	5	0	0	0	0	1	0	1	0	1	0	1	1	1	0	0	0	0	2	0	1	1	0	1	2	0	0	0	0	1	1	0	0	2	0	4	1	2	0	2	0	4	0	5	0	0	0	5	0	0	0	6	0	2	2	3	1	0	2	2	0	0	1	0	1	5	0	0	0	3	7	2	1	0	5	1	0	2	0	0	1	0	0	4	0	0	9	1	0	3	0	3	1	1	0	1	3	1	3	2	0	0	8	0	0	1	4	2	0	1	0	1	3	4	0	9	0	0	5	0	1	1	0	1	0	2	0	4	0	0	2	1	0	1	0	2	0	0	1	1	0	0	5	0	0	0	0	2	0	2	0	1	0	0	2	1	1	0	0	1	2	1	0	0	0	0	0	0	0	2	1	3	1	0	0	0	0	3	0	1	2	0	1	0	1	2	0	0	0	2	0	0	7	5	1	4	0	0	1	5	0	0	2	14	0	1	0	0	0	0	0	0	2	0	2	2	1	1	0	2	1	1	4	2	2	0	0	0	0	0	5	4	1	0	0	1	0	1	1	0	0	2	1	0	0	0	0	0	2	1	0	2	1	1	0	0	3	0	11	5	13	0	1	2	0	7	1	7	0	0	2	0	0
PaulStamatiou.com - Technology, Design and Photography	21	13	69	15	38	53	120	5	6	115	21	5	15	47	12	60	0	100	34	11	74	29	71	21	13	34	159	14	19	31	50	2	36	52	210	28	34	39	7	3	26	31	17	10	22	2	69	12	54	91	66	11	131	13	4	50	76	9	17	18	1	9	95	3	20	13	12	2	33	39	18	24	23	21	15	9	32	41	33	40	48	2	102	20	13	7	69	94	10	52	1	13	78	4	28	125	19	3	28	17	50	26	75	40	46	28	17	50	51	33	11	27	61	38	23	4	5	59	4	23	22	11	83	83	29	25	44	2	12	36	18	141	26	6	5	65	2	83	2	20	117	131	177	12	45	171	33	53	6	5	147	9	2	28	152	21	66	23	14	3	29	9	18	5	23	34	48	150	2	32	11	5	7	83	8	0	175	32	22	25	74	96	21	86	13	78	5	5	36	27	56	27	45	16	24	12	101	31	12	41	8	9	9	0	27	22	100	20	26	27	8	52	84	110	5	165	35	5	62	15	24	41	38	12	12	31	2	98	28	26	0	12	14	9	35	54	73	67	39	16	26	52	4	78	22	34	13	21	13	5	54	78	10	79	8	15	8	117	131	11	7	17	2	4	14	37	255	69	24	1	15	31	12	17	11	52	8	197	34	37	12	12	2	45	10	14	0	25	54	48	140	30	26	6	35	5	8	26	168	5	5	9	22	9	54	45	8	55	32	10	18	66	31	17	25	18	1	7	62	46	29	13	15	52	18	17	3	35	23	42	15	59	11	12	79	54	11	42	23	20	46	15	16	29	59	73	33	79	16	115	51	33	23	14	15	23	7	32	24	11	19	8	50	106	28	23	538	43	59	53	17	61	12	1	32	11	18	21	35	72	20	40	11	3	21	17	27	27	9	6	51	52	17	10	100	222	6	5	17	11	28	19	22	11	96	12	41	2	37	24	67	33	18	92	179	9	4	22	22	117	44	6	26	60	0	15	15	22	10	2	14	14	3	7	5	16	2	7	3	23	28	15	90	207	117	59	40	55	81	4	108	71	17	7	16	6	13	54	5	28	4	41	62	38	9
Search Engine Roundtable	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	1	0	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	2	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	16	0	2	0	2	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	22	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0
Copyblogger	0	1	4	0	0	0	0	0	1	2	0	1	0	0	0	1	0	1	0	0	0	0	2	0	0	0	1	1	0	2	0	0	0	0	2	0	2	0	0	0	0	0	2	0	1	0	0	2	1	1	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	1	1	0	1	2	3	0	0	0	0	3	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	10	0	1	0	0	0	0	0	2	0	0	4	1	3	1	3	0	0	0	4	10	0	1	0	1	0	3	1	1	0	0	1	4	0	0	0	0	1	0	0	0	1	0	1	1	0	1	0	1	1	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	3	0	0	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0	0	1	0	10	0	0	0	1	0	0	0	0	0	10	3	0	0	0	0	0	0	0	0	1	0	0	0	2	3	0	0	0	0	2	0	0	0	0	0	1	15	1	1	0	0	0	0	0	0	0	0	3	10	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	2	0	0	0	0	1	0	0	4	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	1	0	0	0	2	1	0	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0	3	0	1	0	0	0	1	0
Joi Ito's Web	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	1	0	2	0	0	0	1	1	0	0	0	1	1	0	0	1	0	1	0	1	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	1	0	2	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	1	0	2	0	1	3	0	0	0	1	1	0	0	0	1	0	0	0	3	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	2	1	1	0	1	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	2	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	1	1	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	6	3	0	1	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	1	0	2	1	0	2	0	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5
Engadget RSS Feed	0	1	2	2	2	0	1	0	1	2	0	1	0	2	0	0	0	3	0	0	0	2	0	0	1	1	4	0	1	0	1	0	0	0	1	1	0	4	1	2	0	2	0	0	1	0	1	0	1	1	0	1	0	0	2	1	0	1	1	3	3	0	1	0	0	0	3	0	1	0	1	0	0	4	0	0	5	0	0	5	2	0	1	2	0	0	0	2	1	3	0	0	1	0	2	2	0	0	3	0	0	0	1	0	0	0	1	3	1	2	0	1	2	2	0	0	1	0	2	0	2	1	0	4	2	0	3	0	0	0	2	0	0	0	0	1	2	0	0	0	1	0	1	1	0	3	0	0	0	0	0	1	2	0	0	0	2	0	0	0	1	0	1	2	0	0	2	5	0	5	2	0	0	2	1	1	1	0	0	0	2	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	1	0	2	0	1	3	2	0	3	0	2	3	0	0	0	1	0	2	0	0	0	0	1	1	0	1	0	2	0	0	1	1	0	0	1	6	1	0	1	4	0	0	0	0	1	1	0	0	0	0	3	0	0	2	0	0	0	0	1	0	1	0	2	3	0	0	1	0	1	0	1	2	0	0	0	0	1	1	0	2	0	0	0	1	0	3	2	2	1	0	0	0	0	1	3	0	0	1	2	0	0	2	2	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	2	0	0	0	0	0	6	2	0	0	1	0	0	0	2	6	0	5	1	2	1	3	0	0	1	0	0	1	2	0	0	0	0	0	1	1	1	0	0	0	2	1	1	0	0	0	0	1	1	0	0	1	1	1	0	1	0	1	0	3	0	0	0	1	1	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	2	0	0	1	0	0	2	1	4	0	0	1	2	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1	3	0	2	1	0	0	1	2	1	3	0	0	0	0	1	1	0
TMZ.com	0	0	1	0	0	0	1	2	0	1	1	0	0	0	0	0	0	4	0	0	0	1	0	1	0	1	4	1	0	3	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	7	0	0	0	0	3	0	0	2	0	0	0	0	0	4	0	0	0	1	2	0	0	2	0	0	0	0	0	0	0	2	0	4	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	2	0	1	1	0	2	2	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	6	1	0	1	0	0	0	0	1	9	0	0	0	0	0	1	0	3	0	0	0	0	1	0	0	0	0	1	3	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	2	0	0	1	0	2	1	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	1	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	5	0	0	0	5	2	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	5	0	2	0	2	0	0	0	1	0	0	0	0	0	0	3	0	1	0	1	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	5	1	3	0	0	0	0	0	0	0	2	1	0	0	1	1	0	0	1	0	6	0	4	0	0	0	0	0	0	2	0	0	0	0	1
TUAW: Apple news, reviews and how-tos since 2004 RSS Feed	0	0	4	2	1	0	1	0	0	2	0	0	0	3	0	0	0	3	1	0	2	0	1	1	0	0	5	1	1	0	0	0	0	2	3	6	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	1	1	0	0	0	1	0	0	5	0	0	3	0	0	6	1	0	0	1	0	1	0	1	1	4	3	6	0	0	0	3	0	0	1	2	0	1	0	1	3	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	1	1	1	1	0	1	1	1	1	1	1	0	0	0	2	0	1	0	1	5	2	1	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	3	0	0	0	0	0	2	6	2	1	1	1	0	3	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	0	1	0	1	2	0	2	0	0	0	0	0	1	3	0	0	0	0	1	2	0	1	10	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	1	1	1	0	0	0	4	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	2	2	1	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	1	4	0	0	1	0	1	0	8	0	0	0	0	0	0	1	0	1	0	0	0	1	0	5	0	0	0	0	1	0	1	0	0	0	1	0	2	0	1	0	0	1	0	0	1	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	3	0	2	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	3	0	0	0	0	0	5	0	0	2	0	0	0	0	1	0	4	4	0	0	0	0	0	0	0	0	2	1	0	0	5	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	2	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	1	1	1	17	1	2	1	0	0	6	0	5	1	1	1	0	0	0	1	0	0	0	0	3	2	0
A Consuming Experience (full feed)	0	0	16	0	1	2	9	2	0	13	0	1	0	4	1	2	1	12	1	5	10	6	9	2	0	4	13	0	0	1	7	0	0	1	27	2	0	5	3	0	0	29	0	0	2	0	3	2	2	8	3	0	0	2	0	0	0	0	0	0	0	0	13	0	1	4	2	0	0	0	1	3	2	0	0	0	6	6	11	0	3	0	10	0	0	1	6	20	1	0	0	0	7	3	6	0	0	0	0	0	4	18	1	2	0	0	5	8	2	0	3	1	8	10	1	0	0	13	2	0	1	0	0	19	3	1	1	0	0	1	0	1	0	0	0	15	0	13	1	0	34	8	5	3	2	16	0	0	0	0	0	0	3	0	9	0	15	4	0	0	2	0	0	0	0	0	4	14	0	0	4	0	1	5	2	0	19	1	0	0	0	0	1	2	0	17	0	0	3	7	2	0	2	0	0	1	3	2	2	0	0	2	0	0	1	0	4	8	2	2	3	5	1	2	0	14	7	0	13	0	18	2	0	0	0	1	0	8	1	3	0	0	3	9	11	5	2	0	0	0	0	2	0	13	0	1	0	0	1	0	12	3	0	0	3	0	0	19	1	5	1	0	2	0	0	1	53	18	10	0	5	3	7	0	0	8	0	12	2	4	1	0	0	15	0	0	29	0	2	1	10	3	0	0	3	0	1	2	17	0	0	0	0	3	4	2	0	17	6	0	1	2	2	0	16	1	0	0	6	4	0	0	0	1	0	0	0	1	0	1	3	0	1	24	5	9	6	1	0	0	1	3	3	2	13	0	0	9	1	8	1	3	0	2	1	0	0	18	3	0	4	0	5	2	0	1	19	8	1	12	0	2	0	0	4	6	1	7	8	3	1	3	0	2	4	0	2	0	0	1	3	3	0	6	10	18	0	1	1	0	13	1	1	1	2	0	11	1	0	4	1	5	5	1	23	0	7	3	3	0	22	0	1	2	0	1	0	1	2	12	0	2	0	0	0	2	0	0	0	1	1	4	0	18	1	5	4	2	0	0	4	16	3	0	10	0	2	2	7	14	1	2	3	4	0
Latest from Crooks and Liars	2	0	2	1	0	0	0	0	0	5	0	0	0	0	2	2	0	2	0	1	3	1	6	0	0	0	3	0	2	0	0	0	0	0	7	1	3	1	0	2	0	2	0	0	2	1	0	0	2	0	3	0	0	0	0	3	1	0	1	0	0	1	1	0	0	3	0	0	0	0	2	0	1	0	0	0	2	1	0	4	2	0	0	1	0	0	2	3	0	1	0	0	0	0	4	2	0	0	0	0	1	0	2	0	2	1	0	0	1	0	0	1	0	0	0	0	1	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	1	2	2	0	0	1	1	0	0	1	12	0	1	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	1	0	0	0	3	1	1	0	0	0	3	0	5	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	3	0	0	7	0	2	0	0	2	0	0	0	1	0	2	1	0	0	4	0	0	0	0	0	0	0	1	4	1	1	0	3	0	0	3	1	0	1	0	14	0	0	0	3	0	3	1	1	0	2	0	1	1	0	1	0	0	2	4	1	1	5	1	0	0	0	4	2	1	0	1	0	0	0	0	0	0	0	4	0	0	0	5	0	0	0	0	1	1	4	2	0	1	1	0	0	0	0	0	0	1	0	0	0	1	2	0	1	0	0	0	0	0	0	0	1	2	0	0	4	0	2	1	1	0	2	2	1	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	1	1	0	1	5	0	0	3	1	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	2	7	0	0	6	1	0	1	0	0	0	1	0	2	2	0	0	0	2	2	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	3	2	1	4	0	13	0	1	0	0	0	2	0	1	0	1	0	0	0	0	2	0	0	9	0	0	2	5	0	0	0	0	4	0	4	0	1	0	2	0
